,RFdiam,bsl,bsl_FR,layer,maxamplif,maxamplif_diam,maxamplif_perc,maxquench,maxquench_diam,maxquench_perc,qtype_signi,unit
0,1.2000000000000002,1.2495877102532171,1.0976357560568089,SG,0.7436347741559888,1.4999999999999998,0.739477776180201,-0.8398219282097792,15.0,-0.35878290990426104,mixer,0
1,0.6000000000000001,1.098405310955617,0.9620718462823725,SG,0.7049598412055416,0.20000000000000004,0.6454249364274368,-0.7253392240082275,15.0,-0.4337911259538883,mixer,1
1,0.5,0.9927912619543056,0.8817042606516291,SG,0.5160940528318562,0.10000000000000002,0.7069283313590178,-0.30431514994839204,26.000000000000007,-0.2753255992809603,mixer,2
1,0.6000000000000001,1.0128673924049998,1.4099498746867167,SG,0.40803364383464047,10.000000000000002,0.43164479314341714,-0.4559573268136399,26.000000000000007,-0.31905899221524786,mixer,3
1,0.4000000000000001,1.5046420203264306,0.6697911445279866,SG,0.2678493431371375,10.000000000000002,0.2951690856936871,-2.192283177920581,26.000000000000007,-0.5706122417400994,mixer,4
1,0.4000000000000001,1.7398272377378496,1.2923391812865497,SG,0.38857961693621834,10.000000000000002,0.28808738883935125,-1.4894315086748064,0.5,-0.647439923460582,mixer,5
1,0.20000000000000004,3.4700601242656326,1.9593567251461987,SG,0.7121787508711952,5.000000000000001,0.3112303675357571,-3.1723227107852487,0.4000000000000001,-0.7312367960440105,mixer,6
1,0.5,1.9967547591457746,0.5721336553945249,SG,0.6646968269201221,20.000000000000004,0.4438517063281425,-1.3241581622843366,0.5,-0.545674515914868,mixer,19
1,0.4000000000000001,4.114358993615515,1.7996215780998388,SG,,,,-3.8759317565159295,1.0,-0.7797878655524655,quencher,20
1,0.20000000000000004,4.186650104033199,0.9761674718196457,SG,,,,-5.822496245126992,3.5000000000000004,-0.8092810961779302,quencher,21
1,0.5,5.169371084731165,2.3038727858293075,SG,,,,-4.574466728128223,0.8000000000000002,-0.8042995935662008,quencher,22
1,0.8000000000000002,2.195844716578467,0.9734460547504025,SG,,,,-2.026824749390049,1.4999999999999998,-0.6256556769358141,quencher,23
1,0.8000000000000002,2.018940055204259,1.180619967793881,SG,0.9116314224652169,0.20000000000000004,0.7169118451687823,-1.9575901324066816,26.000000000000007,-0.6465614199999268,mixer,24
1,0.4000000000000001,1.4366742559474273,0.6573832528180353,SG,1.0400908437376866,0.20000000000000004,1.0522480173214375,-0.917422867060997,5.000000000000001,-0.48255689956475173,mixer,25
1,0.6000000000000001,1.5878891416067011,0.31636591478696746,SG,0.5872844814303778,0.20000000000000004,0.6397389962554767,-1.1536122939409412,2.4000000000000004,-0.5117990503573336,mixer,44
1,0.5,5.120217901535369,1.4346449456975774,SG,,,,-5.326794793962284,2.4000000000000004,-0.6581065297132118,quencher,45
1,0.5,4.650328612787785,0.8234252297410192,SG,7.393509389606554,0.10000000000000002,1.925889767001092,-6.843491878011214,10.000000000000002,-0.6970588754255721,mixer,46
1,0.5,3.7228962282101836,0.741453634085213,SG,3.3914480904194675,0.10000000000000002,1.289980054214665,-5.382537849679772,0.5,-0.7744636570189436,mixer,47
1,0.5,4.149543269687637,1.5130492898913952,SG,2.673448499318999,0.10000000000000002,0.7305390500001694,-4.246756933104665,20.000000000000004,-0.7213826530544087,mixer,48
1,0.6000000000000001,1.8748417969235016,0.5723809523809523,SG,0.8266360920664184,0.20000000000000004,0.7038914520558854,-1.4191551235287219,15.0,-0.5881762854023572,mixer,49
1,0.5,5.974173974179312,0.6410016977928692,SG,,,,-7.154165005741531,3.5000000000000004,-0.7346607358302242,quencher,68
1,0.5,4.723267266468523,0.45015280135823427,SG,1.2249438019580556,0.10000000000000002,0.36976162315343375,-7.228541434050841,10.000000000000002,-0.7368194039220117,mixer,69
1,0.4000000000000001,3.037191545722412,0.276066779852858,SG,1.699198921749543,0.10000000000000002,0.8836776089776178,-4.28240017851589,0.4000000000000001,-0.7656463825334746,mixer,70
1,0.4000000000000001,5.314792722986015,1.062354272778721,SG,,,,-7.067956141332587,0.4000000000000001,-0.8784719719177921,quencher,71
1,0.8000000000000002,3.4398812963822643,1.249019607843137,SG,,,,-1.766764187754501,0.8000000000000002,-0.3858175743117041,quencher,90
1,0.8000000000000002,7.128020695066802,2.8530822153422775,SG,,,,-8.608878440831715,0.8000000000000002,-0.8510538705553619,quencher,91
1,0.8000000000000002,5.8944242684749675,2.753835569315445,SG,,,,-3.4418613362633934,0.8000000000000002,-0.52056271927767,quencher,92
1,0.8000000000000002,4.649383041734141,1.9710010319917444,SG,,,,-4.20591226204218,0.8000000000000002,-0.6655011064240088,quencher,93
1,0.5,3.254427932852734,1.4600240798073616,SG,,,,-3.4022182376234014,1.8000000000000003,-0.6486445562899591,quencher,94
1,0.6000000000000001,2.1713946500558254,1.06499828001376,SG,1.1380215075644387,0.4000000000000001,0.577922134664883,-0.7335361694540985,3.5000000000000004,-0.334798283634456,mixer,95
1,0.8000000000000002,1.3438336576163907,2.642996216030272,SG,0.575364863828705,0.20000000000000004,0.5243025219570995,-0.871327787246896,5.000000000000001,-0.5227885159349236,mixer,96
1,0.5,1.932719721377172,3.167978279030911,G,,,,-1.4510391352065042,1.8000000000000003,-0.5385505123010188,quencher,7
1,0.6000000000000001,1.7557040434805278,3.1534586466165413,G,0.5652157508924496,15.0,0.44881332262718626,-1.634924367866363,0.8000000000000002,-0.6453425856935021,mixer,8
1,0.6000000000000001,1.723775585997595,5.34140350877193,G,0.42834406210873643,1.2000000000000002,0.2855626854701136,-0.7486097703635048,1.8000000000000003,-0.3141639611587597,mixer,9
1,0.4000000000000001,1.8759466340445643,0.983671497584541,G,,,,-1.2578528203583887,20.000000000000004,-0.5059452523169564,quencher,26
1,3.0000000000000004,1.1319999958159674,1.797753623188406,G,,,,-0.5119924597890974,3.0000000000000004,-0.391234267626145,quencher,27
1,0.8000000000000002,1.1578367151297912,2.3674315619967796,G,0.5541423700551007,0.20000000000000004,0.5457358889271239,-0.6819143199043639,3.0000000000000004,-0.45075625331894315,mixer,28
1,0.5,2.435121353062666,0.8679615705931495,G,1.6841337814127626,0.10000000000000002,0.8376163934862052,-2.5887489980625187,3.5000000000000004,-0.6947447242067376,mixer,50
1,0.5,2.896865183790887,1.252439431913116,G,1.5420421675031348,0.10000000000000002,0.550385912434375,-3.671750846533607,1.4999999999999998,-0.7917117086214751,mixer,51
1,1.0,1.6636489945758277,4.305597326649957,G,0.21713140551811638,5.000000000000001,0.157917816835109,-1.2334982863267974,10.000000000000002,-0.46594907826814885,mixer,52
1,0.4000000000000001,1.6525602761081264,0.6165251839275608,G,1.4936983664452006,0.10000000000000002,0.7034563095038222,-1.3374721129540172,0.4000000000000001,-0.671711285041156,mixer,72
1,1.0,1.0228782614603529,0.32260894170911153,G,0.7916434523170551,2.4000000000000004,0.9408827925116031,-0.22703132366275303,0.8000000000000002,-0.20249059400419106,mixer,73
1,0.6000000000000001,2.082177213513905,2.775919637804188,G,0.794819054279283,0.20000000000000004,0.480846447307445,-1.5653311800798986,3.5000000000000004,-0.6225187210757986,mixer,74
1,0.5,1.9368826170991156,2.0480288957688337,G,1.9551129770792786,0.6000000000000001,1.0940026258305933,-1.0493823119814,5.000000000000001,-0.44873577980507434,mixer,97
1,0.4000000000000001,1.565473338271233,2.7091400068799447,G,,,,-0.7349993810357044,1.9999999999999998,-0.44139616001651477,quencher,98
1,0.4000000000000001,1.0706182415867294,1.8755452356381148,G,0.2448600422822842,0.4000000000000001,0.2588495931479604,-0.38121172511253854,0.20000000000000004,-0.28288234001440205,mixer,99
1,0.6000000000000001,1.5182424170368964,3.1691478696741857,IG,0.5920821594338908,0.10000000000000002,0.41224732106303874,-0.673854468594697,1.9999999999999998,-0.3765514184845,mixer,10
1,0.6000000000000001,1.112521315266044,2.4431996658312447,IG,0.5593117852856957,0.10000000000000002,0.6573084780677546,-0.751404729912679,1.9999999999999998,-0.461528564634351,mixer,11
1,1.0,1.8335468928267595,1.4710108604845444,IG,1.0283820781033124,0.20000000000000004,0.8136176696914401,-1.7266118919771636,15.0,-0.6182808460923516,mixer,12
1,0.6000000000000001,1.4744035897524774,1.004394319131161,IG,0.970280550248162,0.20000000000000004,0.8038194171088434,-1.0813715027309436,2.4000000000000004,-0.4647580615130396,mixer,13
1,1.9999999999999998,2.185124945550665,1.6070342522974101,IG,,,,-2.672066022084554,0.6000000000000001,-0.6682692849372416,quencher,14
1,1.0,1.059092930123297,0.8387886382623224,IG,0.6593336602466846,0.6000000000000001,0.6232900156677016,-0.3973206942526415,15.0,-0.27852888951221305,mixer,15
1,0.6000000000000001,1.348642013897628,1.6573350041771093,IG,0.45388089977979296,0.4000000000000001,0.5523635643825365,-1.3306744138419162,3.0000000000000004,-0.5124224288957308,mixer,16
1,0.8000000000000002,0.8867518683716072,5.761867954911433,IG,0.3890090106386571,3.0000000000000004,0.48115060703775125,-0.3199744153613684,2.4000000000000004,-0.27224410693756224,mixer,29
1,0.8000000000000002,1.7978589741776412,1.8315056360708535,IG,,,,-1.9003773485189592,10.000000000000002,-0.6487907675091422,quencher,30
1,0.6000000000000001,2.4511400640832157,2.2572946859903382,IG,,,,-2.559246775636529,0.8000000000000002,-0.8974183389444297,quencher,31
1,1.0,1.642822214214574,3.5138727858293075,IG,,,,-1.9095777361079995,10.000000000000002,-0.7656624308858944,quencher,32
1,0.5,3.954111538037371,3.5024959742351047,IG,,,,-4.707139663445816,3.0000000000000004,-0.7793040482490218,quencher,33
1,2.4000000000000004,3.190305780134425,3.2855152979066022,IG,,,,-3.1512835818080283,10.000000000000002,-0.7605616055998565,quencher,34
1,0.20000000000000004,1.3054161591047806,2.197874396135266,IG,,,,-0.9686576486960231,0.4000000000000001,-0.5067706910079252,quencher,35
1,0.6000000000000001,2.2498849858231296,4.845722639933165,IG,,,,-1.258432426933924,0.6000000000000001,-0.4153917690571965,quencher,53
1,0.8000000000000002,1.8018727665493603,3.7853801169590646,IG,0.44876124558036623,2.4000000000000004,0.23023049153330868,-0.6107461830423486,0.4000000000000001,-0.27719279406566344,mixer,54
1,0.6000000000000001,1.7858797177420824,1.1395572263993314,IG,1.0070278832426898,3.5000000000000004,0.5926583410723928,-0.6464985405396684,5.000000000000001,-0.36983227886126213,mixer,55
1,0.5,4.425687989474438,2.897368421052632,IG,2.4805791502267,0.10000000000000002,0.5871543398579437,-5.790625257985136,5.000000000000001,-0.8310486685265971,mixer,56
1,0.5,2.5982949442903998,2.742464494569758,IG,1.3265074904345822,20.000000000000004,0.5136833353589159,-2.464082953516992,0.6000000000000001,-0.6843680708416167,mixer,57
1,0.5,5.267966268849915,6.90998329156224,IG,,,,-4.1875117301834575,0.6000000000000001,-0.6613636166538588,quencher,58
1,0.8000000000000002,4.118609932430466,4.091796157059315,IG,,,,-3.968664921733194,5.000000000000001,-0.7823682578424688,quencher,59
1,0.5,1.399092785071936,2.306598754951896,IG,0.6578040834269752,0.20000000000000004,0.5368654441593499,-0.4526741752335033,26.000000000000007,-0.30199336242581604,mixer,75
1,0.4000000000000001,1.5633813740566214,0.46348047538200343,IG,0.40064500483735666,2.4000000000000004,0.3869949811452512,-1.457126004560128,0.4000000000000001,-0.5956071557387553,mixer,76
1,0.4000000000000001,2.3169180097281274,2.2591511035653653,IG,1.1843940780270885,0.10000000000000002,0.8751361840173579,-3.151576970671116,0.4000000000000001,-0.8140183821967952,mixer,77
1,0.6000000000000001,1.5921106758872332,2.0944312393887947,IG,0.4797232955611952,0.10000000000000002,0.34965774197531707,-1.7469987313030932,3.0000000000000004,-0.6693280543957615,mixer,78
1,0.8000000000000002,1.4639672661164216,0.9376004527447652,IG,0.9545049083221835,0.5,0.7638252593643433,-0.5341604853123474,20.000000000000004,-0.2549759330134775,mixer,79
1,0.6000000000000001,1.0806480486317247,1.3043803056027166,IG,0.5805837190100043,1.9999999999999998,0.6970770665763876,-0.6467839193811906,1.0,-0.3819753898791674,mixer,80
1,1.0,1.1526099006190045,1.7135653650254667,IG,0.2365120682853814,1.2000000000000002,0.1991873974262314,-0.4563284856195622,1.0,-0.29078179735237714,mixer,81
1,0.5,1.12413774316196,0.8179153766769865,IG,0.32972356361108546,0.6000000000000001,0.338424695529327,-0.3686732422558098,3.0000000000000004,-0.2883408920859271,mixer,100
1,0.4000000000000001,2.5026122605080756,0.9340866873065015,IG,0.677742691158083,0.20000000000000004,0.2941998456332065,-2.1977316160408202,1.4999999999999998,-0.6753963083814796,mixer,101
1,0.5,1.2651940598823308,2.7171826625386997,IG,0.3382280330531553,0.20000000000000004,0.26542884179802434,-0.5338712198762394,1.4999999999999998,-0.3803124392676417,mixer,102
1,0.8000000000000002,1.4985169413147592,1.1924286205710353,IG,0.5846847507413715,0.20000000000000004,0.4126173762941594,-0.65824996156647,1.0,-0.4371281828927469,mixer,103
1,0.8000000000000002,1.5319271676048216,1.738403852769178,IG,0.9383647932340868,0.8000000000000002,0.7502394164221725,-0.28805567904730345,5.000000000000001,-0.1887366544823251,mixer,104
1,2.4000000000000004,1.579599113371913,0.6782249742002064,IG,0.3846566294116174,0.5,0.3079877254230165,-1.369605152715075,0.4000000000000001,-0.479625875978248,mixer,105
1,15.0,1.3369295460654158,1.3590299277605777,IG,1.5323724944632489,20.000000000000004,1.1460470757978662,-0.8642309777300801,1.4999999999999998,-0.47835954317902757,mixer,106
1,3.0000000000000004,1.5655404468514484,0.3270141038871689,IG,0.8217492448002466,26.000000000000007,0.5355557466753447,-0.7793118367910077,0.4000000000000001,-0.4121774404366972,mixer,107
